Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Fast and the Furious: Tokyo Drift,2006.0,"['Action', 'Crime', 'Thriller']",104.0,6.0,46.0,180111.0,62490000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Passion of the Christ,2004.0,['Drama'],127.0,7.1,47.0,179503.0,500000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Philadelphia,1993.0,['Drama'],125.0,7.7,66.0,179125.0,77320000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Goonies,1985.0,"['Adventure', 'Comedy', 'Family']",114.0,7.8,60.0,178857.0,61400000.0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Bad Boys II,2003.0,"['Action', 'Comedy', 'Crime']",147.0,6.6,38.0,178591.0,138400000.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Man from U.N.C.L.E.,2015.0,"['Action', 'Adventure', 'Comedy']",116.0,7.3,56.0,178421.0,45430000.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Identity,2003.0,"['Mystery', 'Thriller']",90.0,7.3,64.0,178371.0,51480000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Escape Plan,2013.0,"['Action', 'Crime', 'Mystery']",115.0,6.7,49.0,178156.0,25120000.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Suicide Squad,2016.0,"['Action', 'Adventure', 'Crime']",123.0,6.8,40.0,178120.0,269080000.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Planet of the Apes,2001.0,"['Action', 'Adventure', 'Sci-Fi']",119.0,5.7,50.0,178007.0,180010000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
